country,year,cereal_yield_cereal_yield,food_production_index_food_production_index,gdp_per_capita_gdp_per_capita,gini_index_gini_index,Inflation_inflation,military_expenditure_military_expenditure,poverty_rate_poverty_rate,unemployment_total_unemployment_total,youth_unemployment_youth_unemployment,yearly_weather_average_T2M,yearly_weather_average_T2M_MAX,yearly_weather_average_T2M_MIN,yearly_weather_average_PRECTOTCORR,yearly_weather_average_QV2M,yearly_weather_average_RH2M,yearly_weather_average_WS10M,yearly_weather_average_ALLSKY_SFC_SW_DWN,acled_disorder_summary_by_country_year_Demonstrations,acled_disorder_summary_by_country_year_Political violence,acled_disorder_summary_by_country_year_Strategic developments,acled_disorder_summary_by_country_year_total_fatalities,dbscan_cluster,kmeans_cluster,gmm_cluster
Uganda,2006,1522.9,108.34,346.518255310647,,7.31067613561864,1.50342601664363,,2.272,3.427,25.154684931506846,30.25517808219178,20.61975342465753,2.557150684931507,13.291780821917808,62.14909589041096,2.792328767123288,5.773890410958904,,,,,1,2,2
Uganda,2007,1526.0,113.35,401.389130865581,,6.1385108328505,1.39447189004469,,2.677,4.035,24.572164383561645,29.67668493150685,19.997671232876712,2.852,13.574602739726028,65.49561643835617,2.8445753424657534,5.747452054794521,,,,,1,2,2
Uganda,2008,1827.7,87.79,472.842681495852,,12.0508555482886,1.34734497189712,,3.052,4.608,24.388497267759565,29.56456284153005,19.714016393442623,2.6296448087431696,13.200382513661202,64.56330601092897,2.814754098360656,5.749453551912569,,,,,1,2,2
Uganda,2009,2038.6,92.07,798.947089938247,44.2,13.0172561889185,1.43231723283534,45.9,3.6,5.368,24.965671232876712,30.12961643835616,20.30468493150685,2.6726575342465755,13.431287671232877,63.422219178082194,2.752821917808219,5.80082191780822,,,,,-1,2,2
Uganda,2010,1978.5,94.35,823.488144282,,3.97655288478168,2.46009387698207,,3.619,5.345,24.41317808219178,29.11805479452055,20.249123287671235,3.269068493150685,13.918657534246575,67.16265753424658,2.6308219178082197,5.5950136986301375,,,,,1,2,2
Uganda,2011,2056.9,94.78,835.620060555838,,16.5643496174515,2.538786699798,,3.528,5.1,24.320958904109588,29.14145205479452,19.9167397260274,3.36227397260274,13.511287671232877,66.15219178082192,2.6541369863013697,5.796328767123288,,,,,1,2,2
Uganda,2012,2029.1,96.1,795.222867553127,41.0,12.6790377224659,1.16543270533352,37.5,3.551,5.096,24.22571038251366,28.9905737704918,19.8572131147541,3.1806010928961745,13.591065573770493,66.72863387978143,2.68207650273224,5.7890437158469945,,,,,1,2,2
Uganda,2013,1997.5,98.92,818.285427416713,,4.90520875694557,1.3351931773384,,1.91,2.593,24.28961643835617,29.03361643835617,20.040520547945206,2.9316712328767123,13.708767123287672,66.86778082191782,2.589780821917808,5.781287671232877,,,,,1,2,2
Uganda,2014,2080.6,101.79,896.054795546394,,3.07570668958641,0.885150158324909,,2.348,3.317,24.320109589041092,28.99378082191781,20.185671232876714,3.218794520547945,13.696383561643836,66.79531506849315,2.491205479452055,5.718356164383561,,,,,1,2,2
Uganda,2015,2086.8,103.67,862.934610355811,,5.58968606251725,1.04314802530803,,2.679,3.877,24.36758904109589,29.150712328767124,20.13493150684932,3.322438356164384,13.800054794520548,67.25904109589041,2.609178082191781,5.906794520547945,38.0,42.0,8.0,5.0,1,2,2
Uganda,2016,2134.2,94.55,752.696571725656,42.8,5.70637504616212,1.04325843278611,42.9,3.008,4.433,24.72726775956284,29.70248633879781,20.432896174863387,2.398825136612022,13.862459016393442,66.06748633879782,2.7679508196721314,5.828251366120218,109.0,102.0,34.0,278.0,-1,2,2
Uganda,2017,2287.7,103.98,765.218332297361,,5.20971705914209,1.10546534823207,,3.428,5.081,24.856328767123287,29.958657534246576,20.3213698630137,2.596191780821918,13.524739726027397,64.42399999999999,2.872739726027397,5.95282191780822,99.0,99.0,20.0,65.0,1,2,2
Uganda,2018,2523.1,105.73,792.16570022814,,2.61601190952274,1.23271304540367,,3.25,4.897,24.42117808219178,29.37934246575342,20.13704109589041,2.476410958904109,13.41835616438356,65.41306849315069,2.8083835616438355,5.665835616438357,123.0,201.0,37.0,144.0,1,2,2
Uganda,2019,2841.5,118.45,822.057058189153,42.7,2.867588034469,1.744800411186,42.1,3.06,4.689,24.492027397260276,29.06715068493151,20.440602739726028,3.913890410958904,14.1713698630137,68.69972602739726,2.6396986301369862,5.738520547945205,140.0,214.0,10.0,162.0,-1,2,2
Uganda,2020,3025.6,139.38,845.766463890124,,3.31332289544502,2.73212093048135,,3.831,5.721,23.41590163934426,27.696857923497262,19.62726775956284,3.654153005464481,14.595792349726777,73.87956284153005,2.7591803278688527,5.589398907103825,221.0,440.0,27.0,299.0,1,2,2
Uganda,2021,4345.3,151.83,882.791717542504,,2.20457204757414,2.64180818268415,,3.422,5.044,24.804164383561645,30.04010958904109,20.30923287671233,1.783095890410959,13.516657534246574,64.17402739726028,2.876,5.652356164383562,462.0,603.0,93.0,504.0,1,2,2
Uganda,2022,2289.5,135.53,963.067314117178,,7.1957888597581,2.03684189118429,,2.886,4.315,24.72427397260274,29.7847397260274,20.30605479452055,2.602219178082192,13.49909589041096,64.59728767123288,2.781068493150685,5.624986301369863,176.0,427.0,60.0,362.0,1,2,2
Uganda,2023,,,1002.30913917142,,5.35094804280395,1.98205631258922,,2.787,4.228,24.67265753424657,29.383972602739725,20.537726027397262,3.5221643835616434,14.180465753424658,67.6765205479452,2.686958904109589,5.756657534246575,135.0,360.0,67.0,366.0,1,2,2
Uganda,2024,,,,,,,,,,,,,,,,,,136.0,277.0,31.0,237.0,0,0,5
Uganda,2025,,,,,,,,,,,,,,,,,,50.0,92.0,21.0,55.0,0,0,5
Ukraine,2000,1950.8,61.98,653.294311523438,,28.2030972388552,3.51108284883721,,11.707,21.85,8.584863387978142,13.358551912568306,3.926120218579235,1.6844262295081966,5.6858196721311485,77.53830601092896,4.242486338797814,3.341994535519126,,,,,5,3,1
Ukraine,2001,2729.5,66.32,800.49072265625,,11.9588085390459,2.76926719545401,,11.061,20.66,8.423890410958904,13.467041095890412,3.5651506849315067,1.6290410958904111,5.6186849315068494,75.0285205479452,4.153643835616438,3.311671232876712,,,,,5,3,1
Ukraine,2002,2752.2,68.16,903.011901855469,29.0,0.75742084639286,2.67619950627408,2.7,10.136,18.913,9.177479452054795,14.35468493150685,4.204328767123288,1.406876712328767,5.555452054794521,72.48827397260274,4.275260273972603,3.380876712328767,,,,,5,3,1
Ukraine,2003,2278.4,66.23,1076.48156738281,28.7,5.17967781908315,2.74557877088929,1.1,9.057,16.877,7.401452054794521,12.328794520547946,2.547945205479452,1.4639726027397262,5.393232876712329,77.35293150684932,4.234,3.580301369863013,,,,,5,3,1
Ukraine,2004,2845.2,72.86,1401.01806640625,28.9,9.04806786050888,2.50682433490703,0.9,8.59,15.995,8.319207650273224,13.138879781420766,3.635628415300547,1.7213387978142076,5.857896174863387,78.83866120218579,4.329945355191257,3.2266666666666666,,,,,5,3,1
Ukraine,2005,2623.0,72.78,1875.33508300781,29.0,13.5695764909248,2.79248933066336,0.4,7.18,15.212,8.630493150684933,13.659863013698631,3.83613698630137,1.6149041095890413,5.829671232876712,76.63139726027397,4.215835616438356,3.480082191780822,,,,,5,3,1
Ukraine,2006,2427.7,72.96,2366.494140625,29.8,9.05252491133248,2.77159181333191,0.2,6.81,14.261,8.22676712328767,13.300109589041096,3.4396986301369865,1.3973698630136986,5.811095890410959,77.6512602739726,4.166904109589042,3.4224109589041096,,,,,5,3,1
Ukraine,2007,2206.7,67.74,3160.32763671875,27.0,12.8387796190181,2.87000281658483,0.1,6.351,13.22,10.358575342465754,15.843232876712328,5.145041095890411,1.220712328767123,5.491315068493151,69.21301369863014,4.375808219178082,3.5545205479452058,,,,,5,3,1
Ukraine,2008,3486.9,84.27,4017.806640625,26.6,25.226461707384,2.67292227463357,0.0,6.363,13.161,9.379863387978142,14.633688524590164,4.493743169398908,1.538606557377049,5.771912568306011,75.4268306010929,4.252349726775956,3.312295081967213,,,,,5,3,1
Ukraine,2009,3003.8,80.14,2607.08764648438,25.3,15.8811924594476,2.8403538702613,0.1,8.84,18.23,9.306657534246575,14.403589041095891,4.4178356164383565,1.3543561643835615,5.65386301369863,73.77150684931506,4.132301369863014,3.4278356164383563,,,,,5,3,1
Ukraine,2010,2726.6,77.63,3039.63232421875,24.8,9.37293105078978,2.74199654235065,0.0,8.1,17.709,8.91227397260274,13.82854794520548,4.096164383561644,1.876958904109589,6.201041095890411,78.1711506849315,4.190493150684931,3.4976164383561645,,,,,5,3,1
Ukraine,2011,3753.7,93.98,3656.69799804688,24.6,7.95572466274652,2.25828771122262,0.0,7.851,17.81,8.453287671232877,13.63213698630137,3.64454794520548,1.434712328767123,5.68172602739726,75.33410958904109,4.0612876712328765,3.5934794520547944,,,,,5,3,1
Ukraine,2012,3156.8,88.08,3951.34228515625,24.7,0.568727971803862,2.35345197687142,0.1,7.529,17.815,9.267295081967212,14.687950819672132,4.108278688524591,1.4277868852459017,5.738169398907104,73.08079234972678,4.276393442622951,3.711311475409836,,,,,5,3,1
Ukraine,2013,4030.8,101.11,4129.89697265625,24.6,-0.238948626045407,2.3928953083474,0.0,7.17,17.643,9.360027397260271,14.33619178082192,4.678575342465754,1.240931506849315,5.902438356164383,75.66747945205479,4.356301369863013,3.368493150684932,,,,,5,3,1
Ukraine,2014,4400.2,101.11,3054.908203125,24.0,12.0718562874251,2.96736825853937,0.0,9.27,23.573,9.43345205479452,14.868575342465752,4.439287671232877,1.3245479452054794,5.4220273972602735,69.67402739726028,4.253397260273973,3.6258082191780825,,,,,5,3,1
Ukraine,2015,4140.9,96.82,2094.47387695313,25.5,48.6998646434424,3.84784847607093,0.1,9.14,22.611,9.897780821917808,15.19295890410959,4.947397260273973,1.382054794520548,5.574630136986301,71.15271232876712,4.310547945205479,3.598301369863014,,,,,5,3,1
Ukraine,2016,4651.6,102.07,2158.46118164063,25.0,13.9127101997797,3.66861786886462,0.1,9.35,23.139,9.02571038251366,13.902131147540985,4.21655737704918,1.8912021857923496,5.922322404371585,76.09401639344263,4.217158469945355,3.462841530054645,,,,,5,3,1
Ukraine,2017,4311.3,100.01,2604.28759765625,26.0,14.4383227488749,3.24149291547879,0.0,9.5,18.963,9.53909589041096,14.95958904109589,4.379616438356164,1.2614246575342467,5.653369863013698,73.39712328767123,4.427972602739726,3.5693698630136983,,,,,5,3,1
Ukraine,2018,4847.3,107.23,3059.0517578125,26.1,10.9518559353178,3.63516607992805,0.0,8.799,17.965,9.392657534246576,14.5586301369863,4.318054794520548,1.5878630136986305,5.931561643835616,74.84082191780823,4.0325205479452055,3.6827397260273975,,,,,5,3,1
Ukraine,2019,4975.8,109.33,3619.86157226563,26.6,7.88671745611133,4.06793765037597,0.0,8.194,15.484,10.478849315068494,15.724986301369862,5.510356164383562,1.0955068493150686,5.969369863013699,72.28605479452055,4.056684931506849,3.568602739726028,,,,,5,3,1
Ukraine,2020,4293.4,99.24,3709.76928710938,25.6,2.73249209419427,4.40031470276707,0.0,9.475,19.355,10.766994535519125,16.20975409836066,5.742950819672132,1.200601092896175,5.673087431693989,68.99560109289618,4.129863387978142,3.6189071038251366,,,,,-1,3,1
Ukraine,2021,5454.6,113.92,4775.94580078125,,9.36313917695223,3.42549199562857,,9.834,19.145,8.784191780821917,13.77027397260274,4.081205479452055,1.807095890410959,6.0295068493150685,76.87071232876713,4.09241095890411,3.4558082191780817,,,,,5,3,1
Ukraine,2022,4614.1,87.83,4199.6708984375,,20.1836366617478,25.8799435670931,,,,9.638986301369863,14.694520547945206,4.969397260273972,1.4183835616438356,5.851150684931507,74.29542465753426,4.438438356164384,3.442876712328768,,,,,-1,3,1
Ukraine,2023,,,5069.703125,,12.8490222828559,36.6531099379099,,,,10.537232876712327,15.519205479452056,5.784657534246576,1.6963287671232876,6.394082191780822,75.70443835616437,4.43082191780822,3.494301369863014,,,,,-1,3,1
Ukraine,2025,,,,,,,,,,,,,,,,,,15.0,4915.0,70.0,6334.0,0,0,5
United Arab Emirates,2000,17504.7,185.23,29865.502347066,,,8.3237222448449,,2.25,5.124,28.59013661202186,36.5575956284153,21.97224043715847,0.0097540983606557,9.051639344262297,42.68068306010929,3.825327868852459,6.241748633879782,,,,,6,1,3
United Arab Emirates,2001,17476.9,122.1,27745.1708087672,,,5.61210552340521,,2.444,5.615,28.614958904109585,36.68827397260274,21.83564383561644,0.0024383561643835,8.883095890410958,42.13695890410959,3.708493150684932,6.128657534246576,,,,,6,1,3
United Arab Emirates,2002,18064.6,119.93,27753.6089526346,,,4.87553180534483,,2.661,6.178,28.719780821917805,36.62791780821918,22.029698630136988,0.0278630136986301,9.15876712328767,42.4933698630137,3.754109589041096,6.145561643835617,,,,,6,1,3
United Arab Emirates,2003,20927.8,111.31,29659.5428567811,,,4.69230626722928,,2.908,6.827,28.84049315068493,36.61427397260274,22.300630136986303,0.0594794520547945,9.469205479452055,42.87386301369863,3.8053424657534247,6.018520547945206,,,,,6,1,3
United Arab Emirates,2004,20373.6,119.83,33376.7152295209,,,4.6114776396626,,2.965,7.36,28.67592896174863,36.57928961748634,22.059262295081965,0.0408743169398907,9.158879781420763,42.66120218579235,3.856830601092896,6.1704098360655735,,,,,6,1,3
United Arab Emirates,2005,20215.2,121.7,38719.3138307623,,,3.65647067832081,,3.12,8.045,28.652712328767123,36.32364383561644,22.184,0.0408219178082191,9.364657534246575,43.15750684931507,3.732410958904109,6.093534246575342,,,,,6,1,3
United Arab Emirates,2006,20900.8,111.88,44342.6048322482,,,3.22597447304637,,2.963,7.92,28.77016438356165,36.31172602739726,22.360465753424656,0.1235068493150684,8.961561643835616,41.01290410958904,3.781561643835616,5.984164383561644,,,,,6,1,3
United Arab Emirates,2007,21428.6,111.48,45854.7325158162,,,3.28052136989454,,2.936,7.799,28.67945205479452,36.45372602739726,22.16780821917808,0.0293698630136986,9.324520547945204,43.16898630136986,3.696931506849315,6.107150684931507,,,,,6,1,3
United Arab Emirates,2008,22265.9,120.88,50054.1700681803,,12.2504202448139,3.6680226492701,,2.821,7.541,28.182841530054645,36.109125683060114,21.580382513661203,0.0769945355191256,8.507459016393442,40.794754098360656,3.58051912568306,6.054918032786885,,,,,6,1,3
United Arab Emirates,2009,24716.6,119.04,37803.0663738777,,1.5618131744907,5.45710777311036,,2.944,7.467,28.466657534246576,36.452657534246576,21.831150684931508,0.1058082191780821,8.798602739726029,41.71071232876712,3.7364109589041097,6.034328767123288,,,,,6,1,3
United Arab Emirates,2010,18069.8,129.7,43696.6712597922,,0.877983288285867,6.03859220826788,,2.811,7.191,29.043397260273974,36.93353424657534,22.515534246575346,0.1534520547945205,9.275068493150686,42.09756164383562,3.527671232876712,6.073972602739726,,,,,6,1,3
United Arab Emirates,2011,24064.3,75.57,50789.0505418347,,0.87734659568512,5.46631452753061,,2.596,6.857,28.57816438356165,36.26742465753425,22.275150684931507,0.0225479452054794,9.148301369863011,42.59139726027397,3.963205479452055,5.96427397260274,,,,,6,1,3
United Arab Emirates,2012,12112.2,77.32,52034.4762466073,,0.662268900269009,5.07555649376756,,2.327,6.468,28.80133879781421,36.62215846994536,22.30333333333333,0.0144535519125683,8.773661202185792,40.8824043715847,3.7157377049180327,5.962103825136612,,,,,6,1,3
United Arab Emirates,2013,36761.9,78.77,52023.5170958751,32.5,1.1011183637571,6.03468625064444,0.0,2.126,6.118,28.21994520547945,35.84597260273973,21.80364383561644,0.0410136986301369,8.990410958904109,42.21071232876712,3.80427397260274,5.9538082191780815,,,,,6,1,3
United Arab Emirates,2014,14238.4,94.36,51381.4069909213,,2.34626865671643,5.64365135247024,,2.002,5.825,28.505150684931504,36.25564383561644,21.94775342465753,0.0542739726027397,8.985726027397261,42.38520547945205,3.687972602739726,6.112849315068494,,,,,6,1,3
United Arab Emirates,2015,35291.3,98.36,43534.9972681733,,4.06996608361593,,,1.793,5.447,29.170356164383563,36.986356164383565,22.56797260273973,0.0311232876712328,8.89490410958904,40.46046575342466,3.833041095890411,6.038493150684932,,,,,6,1,3
United Arab Emirates,2016,33396.5,107.28,41326.4018161834,,1.61748808904198,,,1.64,5.11,28.525054644808744,36.35806010928962,22.106584699453556,0.1327322404371584,9.764699453551913,45.54401639344263,3.7512295081967215,6.010054644808743,,,,,6,1,3
United Arab Emirates,2017,30801.8,107.31,42340.5917145576,,1.96682557818842,,,2.462,7.474,29.21841095890411,37.11654794520548,22.686,0.1406301369863013,9.44558904109589,42.97561643835616,3.80827397260274,6.165260273972603,1.0,0.0,0.0,0.0,6,1,3
United Arab Emirates,2018,20853.3,111.15,45689.8570040215,26.4,3.06863379251997,,0.0,2.236,6.747,29.33586301369863,37.14150684931506,22.86441095890411,0.0140273972602739,9.321753424657537,41.43871232876712,3.700986301369863,6.173287671232877,1.0,1.0,0.0,0.0,6,1,3
United Arab Emirates,2019,23842.3,120.4,44251.4541390148,,-1.93108114782173,,,2.331,7.325,29.086356164383563,36.61698630136986,22.76895890410959,0.0746301369863013,9.636356164383562,42.55742465753424,3.921561643835616,6.0719452054794525,1.0,1.0,0.0,0.0,6,1,3
United Arab Emirates,2020,18982.7,124.53,37173.8754100281,,-2.07940317940944,,,4.294,13.482,28.90013661202186,36.5529781420765,22.465710382513663,0.1335245901639344,9.965464480874315,44.53806010928962,3.950491803278689,6.245901639344262,0.0,1.0,3.0,2.0,6,1,3
